Birey_ID,Tarihlendirme(GÖ),Okuma_Derinliği,Kültür,Gruplar,Country,Publication,Enlem,Boylam,Veri_Tipi,Cinsiyet,Ind_type
TIT015,4120,0.00019728,TitrişHöyük_EBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,37.4759306,38.6783333,1240K,U,Antik
TIT019,4120,0.00013631,TitrişHöyük_EBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,37.4759306,38.6783333,1240K,U,Antik
TIT025,4120,0.00101428,TitrişHöyük_EBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,37.4759306,38.6783333,1240K,U,Antik
I14649,4149,0.00821699,TUR_SE_Gaziantep_BA,Neolitik Sonrası,Turkey,LazaridisScience2022,36.87,37.54,1240K,M,Antik
TIT021,4161,0.0017727,TitrişHöyük_EBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,37.4759306,38.6783333,1240K,M,Antik
I14792,4221,0.0968448,TUR_SE_Kilis_EBA_A,Neolitik Sonrası,Turkey,LazaridisScience2022,36.69,37.17,1240K,F,Antik
I2495_all,4315,0.394119,TUR_Med_Isparta_BA,Neolitik Sonrası,Turkey,LazaridisScience2022,37.91774,30.70839,1240K,M,Antik
ART001,4321,0.0651341,Arslantepe_EBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,38.381944,38.361111,1240K,M,Antik
I7079,4371,0.00546899,TUR_BlackSea_Amasya_EBA,Neolitik Sonrası,Turkey,LazaridisScience2022,40.69,35.56,1240K,M,Antik
I2683_all,4487,0.322247,TUR_Med_Isparta_BA,Neolitik Sonrası,Turkey,LazaridisScience2022,37.91774,30.70839,1240K,F,Antik
I2499,4492,0.00968002,Anatolia_BronzeAge,Neolitik Sonrası,Turkey,LazaridisNature2017,37.91774,30.70839,1240K,F,Antik
ART009,4517,0.385299,Arslantepe_EBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,38.381944,38.361111,1240K,F,Antik
I5744,4520,0.0313104,TUR_BlackSea_Amasya_EBA,Neolitik Sonrası,Turkey,LazaridisScience2022,40.69,35.56,1240K,F,Antik
ART010,4525,0.0544761,Arslantepe_EBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,38.381944,38.361111,1240K,F,Antik
I5740,4526,0.113897,TUR_BlackSea_Amasya_EBA,Neolitik Sonrası,Turkey,LazaridisScience2022,40.69,35.56,1240K,F,Antik
ART011,4595,0.0442524,Arslantepe_EBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,38.381944,38.361111,1240K,M,Antik
I4481,4653,0.0578168,TUR_SE_Şırnak_BA,Neolitik Sonrası,Turkey,LazaridisScience2022,37.5432,41.8662,1240K,F,Antik
I5733,4694,0.0811541,TUR_Aegean_Izmir_Yassıtepe_EBA,Neolitik Sonrası,Turkey,LazaridisScience2022,38.42,27.14,1240K,F,Antik
I5735,4870,0.0296133,TUR_Aegean_Izmir_Yassıtepe_EBA,Neolitik Sonrası,Turkey,LazaridisScience2022,38.42,27.14,1240K,F,Antik
